0	-8.968
1	-6.607
2	8.386
3	6.211
4	-7.403
5	3.654
6	2.6
7	1.424
8	-2.91
9	-2.833
10	3.334
11	-4.523
12	7.689
13	1.547
14	-7.86
15	-1.269
16	-1.013
17	2.959
18	7.591
19	-4.143
20	7.655
21	-6.947
22	8
23	1.214
24	0.836
25	4.938
26	3.673
27	4.447
28	2.165
29	-4.625
30	-6.38
31	-4.044
32	7.524
33	-0.995
34	6.082
35	3.77
36	7.355
37	-1.085
38	3.463
39	1.573
40	4.12
41	-7.598
42	-5.02
43	6.898
44	-1.392
45	0.24
46	7.002
47	-7.854
48	3.581
49	-9.537
50	-0.658
51	-0.735
52	-7.825
53	-7.604
54	9.002
55	-2.441
56	-4.097
57	1.721
58	4.411
59	-9.552
60	-1.382
61	9.287
62	6.498
63	-3.397
64	0.614
65	-4.297
66	9.6
67	-7.196
68	8.827
69	-3.491
70	-6.277
71	6.46
72	-4.735
73	7.208
74	5.172
75	-6.053
76	5.514
77	0.295
78	4.371
79	-6.5
80	-8.576
81	2.421
82	-2.698
83	-5.51
84	-8.333
85	-0.961
86	-4.718
87	-4.484
88	7.263
89	-8.773
90	4.507
91	-7.539
92	1.96
93	9.47
94	4.614
95	0.985
96	4.067
97	-7.185
98	5.332
99	0.45
100	4.075
101	5.088
102	-8.378
103	2.812
104	-4.495
105	-0.548
106	1.499
107	-7.802
108	5.102
109	4.433
110	3.209
111	-1.183
112	-6.805
113	5.97
114	-7.829
115	6.45
116	4.781
117	-6.187
118	-3.596
119	-3.326
120	-7.218
121	4.972
122	-8.944
123	-4.349
124	4.774
125	6.903
126	-9.318
127	0.214
128	-1.234
129	-2.688
130	3.054
131	-2.212
132	1.967
133	-8.179
134	-1.016
135	6.046
136	1.978
137	1.043
138	-6.119
139	-1.579
140	-4.439
141	3.847
142	8.196
143	-4.683
144	-0.292
145	7.142
146	5.257
147	-2.029
148	6.389
149	9.152
150	-3.937
151	2.31
152	3.729
153	1.974
154	-9.902
155	-5.915
156	6.284
157	5.57
158	8.58
159	3.541
160	-3.775
161	-4.285
162	5.873
163	-5.522
164	-5.953
165	-4.83
166	7.635
167	-1.161
168	3.701
169	-7.512
170	-4.036
171	7.969
172	-7.036
173	7.102
174	7.554
175	-4.149
176	-3.199
177	3.639
178	-7.9
179	-1.553
180	-4.909
181	2.925
182	7.189
183	3.332
184	-7.696
185	8.965
186	2.348
187	2.418
188	-8.942
189	-4.53
190	2.527
191	-9.237
192	9.71
193	-6.389
194	-9.955
195	9.076
196	9.952
197	-5.813
198	7.173
199	7.076
200	8.507
